Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      31( 62.0)       19( 38.0)       0       0       0       0       0       0       0
  2      25( 50.0)       25( 50.0)       0       0       0       0       0       0       0
  3      13( 52.0)       12( 48.0)       0       0       0       0       0       0       0
  4      15( 60.0)       10( 40.0)       0       0       0       0       0       0       0
  5      11( 44.0)       14( 56.0)       0       0       0       0       0       0       0
  6      16( 64.0)        9( 36.0)       0       0       0       0       0       0       0
  7      19( 38.0)       31( 62.0)       0       0       0       0       0       0       0
  8      26( 52.0)       24( 48.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   156( 52.0)      144( 48.0)       0       0       0       0       0       0       0

