Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      41( 82.0)        9( 18.0)       0       0       0       0       0       0       0
  2      43( 86.0)        7( 14.0)       0       0       0       0       0       0       0
  3      21( 84.0)        4( 16.0)       0       0       0       0       0       0       0
  4      22( 88.0)        3( 12.0)       0       0       0       0       0       0       0
  5      19( 76.0)        6( 24.0)       0       0       0       0       0       0       0
  6      20( 80.0)        5( 20.0)       0       0       0       0       0       0       0
  7      35( 70.0)       15( 30.0)       0       0       0       0       0       0       0
  8      32( 64.0)       18( 36.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   233( 77.7)       67( 22.3)       0       0       0       0       0       0       0

