Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      34( 68.0)       16( 32.0)       0       0       0       0       0       0       0
  2      32( 64.0)       18( 36.0)       0       0       0       0       0       0       0
  3      17( 68.0)        8( 32.0)       0       0       0       0       0       0       0
  4      15( 60.0)       10( 40.0)       0       0       0       0       0       0       0
  5      20( 80.0)        5( 20.0)       0       0       0       0       0       0       0
  6      16( 64.0)        9( 36.0)       0       0       0       0       0       0       0
  7      29( 58.0)       21( 42.0)       0       0       0       0       0       0       0
  8      30( 60.0)       20( 40.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   193( 64.3)      107( 35.7)       0       0       0       0       0       0       0

