SubjID,lang_type
S103,Orthographic
S105,Orthographic
S106,Orthographic
S107,Orthographic
S108,Orthographic
S109,Orthographic
S110,Orthographic
S111,Orthographic
S112,Orthographic
S117,Orthographic
S122,Orthographic
S127,Orthographic
S128,Orthographic
S131,Orthographic
S132,Orthographic
S133,Orthographic
S134,Orthographic
S135,Orthographic
S136,Orthographic
S139,Orthographic
S140,Orthographic
S143,Orthographic
S145,Orthographic
S146,Orthographic
S147,Orthographic
S153,Orthographic
S154,Orthographic
S156,Orthographic
S157,Orthographic
S169,Orthographic
