SubjID,lang_type
S101,Semantic
S103,Orthographic
S104,Semantic
S105,Orthographic
S106,Orthographic
S107,Orthographic
S108,Orthographic
S109,Orthographic
S110,Orthographic
S111,Orthographic
S112,Orthographic
S113,Semantic
S114,Semantic
S115,Semantic
S116,Semantic
S117,Orthographic
S118,Semantic
S119,Semantic
S120,Semantic
S122,Orthographic
S123,Semantic
S124,Semantic
S125,Semantic
S127,Orthographic
S128,Orthographic
S129,Semantic
S130,Semantic
S131,Orthographic
S132,Orthographic
S133,Orthographic
S134,Orthographic
S135,Orthographic
S136,Orthographic
S137,Semantic
S138,Semantic
S139,Orthographic
S140,Orthographic
S141,Semantic
S142,Semantic
S143,Orthographic
S144,Semantic
S145,Orthographic
S146,Orthographic
S147,Orthographic
S150,Semantic
S152,Semantic
S153,Orthographic
S154,Orthographic
S155,Semantic
S156,Orthographic
S157,Orthographic
S158,Semantic
S159,Semantic
S160,Semantic
S167,Semantic
S168,Semantic
S169,Orthographic
S170,Semantic
S171,Semantic
S172,Semantic
