Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      39( 78.0)       11( 22.0)       0       0       0       0       0       0       0
  2      44( 88.0)        6( 12.0)       0       0       0       0       0       0       0
  3      19( 76.0)        6( 24.0)       0       0       0       0       0       0       0
  4      17( 68.0)        8( 32.0)       0       0       0       0       0       0       0
  5      21( 84.0)        4( 16.0)       0       0       0       0       0       0       0
  6      20( 80.0)        5( 20.0)       0       0       0       0       0       0       0
  7      39( 78.0)       11( 22.0)       0       0       0       0       0       0       0
  8      41( 82.0)        9( 18.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   240( 80.0)       60( 20.0)       0       0       0       0       0       0       0

