Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      38( 76.0)       12( 24.0)       0       0       0       0       0       0       0
  2      36( 72.0)       14( 28.0)       0       0       0       0       0       0       0
  3      20( 80.0)        5( 20.0)       0       0       0       0       0       0       0
  4      17( 68.0)        8( 32.0)       0       0       0       0       0       0       0
  5      20( 80.0)        5( 20.0)       0       0       0       0       0       0       0
  6      19( 76.0)        6( 24.0)       0       0       0       0       0       0       0
  7      39( 78.0)       11( 22.0)       0       0       0       0       0       0       0
  8      35( 70.0)       15( 30.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   224( 74.7)       76( 25.3)       0       0       0       0       0       0       0

