Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      38( 76.0)       12( 24.0)       0       0       0       0       0       0       0
  2      32( 64.0)       18( 36.0)       0       0       0       0       0       0       0
  3      18( 72.0)        7( 28.0)       0       0       0       0       0       0       0
  4      18( 72.0)        7( 28.0)       0       0       0       0       0       0       0
  5      17( 68.0)        8( 32.0)       0       0       0       0       0       0       0
  6      20( 80.0)        5( 20.0)       0       0       0       0       0       0       0
  7      33( 66.0)       17( 34.0)       0       0       0       0       0       0       0
  8      36( 72.0)       14( 28.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   212( 70.7)       88( 29.3)       0       0       0       0       0       0       0

