word,condition,cond trigger,word trigger
DETECTABLE,CW_S,201,1
AVOIDABLE,CW_S,201,2
NOTICEABLE,CW_S,201,3
MAGICAL,CW_S,201,4
ALLOWANCE,CW_S,201,5
DIETARY,CW_S,201,6
WIDOWED,CW_S,201,7
BEARDED,CW_S,201,8
INSISTENT,CW_S,201,9
TOASTER,CW_S,201,10
LENDER,CW_S,201,11
RAIDER,CW_S,201,12
JAILER,CW_S,201,13
DESTROYER,CW_S,201,14
CAMPAIGNER,CW_S,201,15
SEEKER,CW_S,201,16
SINGER,CW_S,201,17
LISTENER,CW_S,201,18
DESIGN,CW_S,201,19
ATTACKER,CW_S,201,20
BUYER,CW_S,201,21
PLANNER,CW_S,201,22
TEACHER,CW_S,201,23
THRUSTER,CW_S,201,24
ANGELIC,CW_S,201,25
TOSSING,CW_S,201,26
TUTORING,CW_S,201,27
PEAKING,CW_S,201,28
HARMLESS,CW_S,201,29
EFFORTLESS,CW_S,201,30
GRIMLY,CW_S,201,31
DENSELY,CW_S,201,32
NEATLY,CW_S,201,33
GUILTY,CW_S,201,34
HUGELY,CW_S,201,35
COSTLY,CW_S,201,36
LOCALLY,CW_S,201,37
AMUSEMENT,CW_S,201,38
AMAZEMENT,CW_S,201,39
ENJOYMENT,CW_S,201,40
BOLDNESS,CW_S,201,41
MILDNESS,CW_S,201,42
DULLNESS,CW_S,201,43
AWARENESS,CW_S,201,44
RICHNESS,CW_S,201,45
STRANGENESS,CW_S,201,46
MOSSY,CW_S,201,47
CHILLY,CW_S,201,48
BOSSY,CW_S,201,49
RISKY,CW_S,201,50
PUNCHER,CW_L,202,1
BARKER,CW_L,202,2
SPELLER,CW_L,202,3
KNOCKER,CW_L,202,4
SWIMMER,CW_L,202,5
COMPOSER,CW_L,202,6
BOMBER,CW_L,202,7
LOCKER,CW_L,202,8
RENTER,CW_L,202,9
HUNTER,CW_L,202,10
DANCER,CW_L,202,11
DREAMER,CW_L,202,12
PUSHER,CW_L,202,13
FEEDER,CW_L,202,14
CLEANER,CW_L,202,15
HEATER,CW_L,202,16
STRIKER,CW_L,202,17
PAINTER,CW_L,202,18
SHAMEFUL,CW_L,202,19
FAITHFUL,CW_L,202,20
DOUBTFUL,CW_L,202,21
FLEXIBLE,CW_L,202,22
KICKING,CW_L,202,23
COOLING,CW_L,202,24
PARKING,CW_L,202,25
GUARDING,CW_L,202,26
LAUGHING,CW_L,202,27
DAMPISH,CW_L,202,28
STYLISH,CW_L,202,29
JUMPING,CW_L,202,30
GUILELESS,CW_L,202,31
BOOTLESS,CW_L,202,32
CLOUDLESS,CW_L,202,33
BONELESS,CW_L,202,34
SHAPELY,CW_L,202,35
QUIETLY,CW_L,202,36
WRONGLY,CW_L,202,37
EXCITEMENT,CW_L,202,38
DEAFNESS,CW_L,202,39
BLINDNESS,CW_L,202,40
MADNESS,CW_L,202,41
DRYNESS,CW_L,202,42
SAILOR,CW_L,202,43
CONDUCTOR,CW_L,202,44
EDITOR,CW_L,202,45
COLLECTOR,CW_L,202,46
PROFESSOR,CW_L,202,47
WEEDY,CW_L,202,48
CREAMY,CW_L,202,49
VERBAL,CW_L,202,50
MELTANCE,NW_S_COMP,203,1
HAPPENANCE,NW_S_COMP,203,2
LIDARY,NW_S_COMP,203,3
FIGER,NW_S_COMP,203,4
BEERER,NW_S_COMP,203,5
FANFUL,NW_S_COMP,203,6
ALTARIC,NW_S_COMP,203,7
ANTISM,NW_S_COMP,203,8
ARIDISM,NW_S_COMP,203,9
ELMIST,NW_S_COMP,203,10
CURTITY,NW_S_COMP,203,11
DUMBITY,NW_S_COMP,203,12
PILLIZE,NW_S_COMP,203,13
TREASONIZE,NW_S_COMP,203,14
TRUENESS,NW_S_COMP,203,15
BRANCHER,NW_S_COMP,203,16
PRINCEMENT,NW_S_COMP,203,17
HEIGHTENCE,NW_S_COMP,203,18
ADOPTISH,NW_S_COMP,203,19
EJECTENCE,NW_S_COMP,203,20
WELDIC,NW_S_COMP,203,21
DEBTISH,NW_S_COMP,203,22
YANKORY,NW_S_COMP,203,23
FIENDISM,NW_S_COMP,203,24
HUMIDOUS,NW_S_COMP,203,25
STIRANCE,NW_L_COMP,204,1
TRIPARY,NW_L_COMP,204,2
FLITENCE,NW_L_COMP,204,3
RIPENCE,NW_L_COMP,204,4
SHEETER,NW_L_COMP,204,5
GASFUL,NW_L_COMP,204,6
ANGELISH,NW_L_COMP,204,7
INKISM,NW_L_COMP,204,8
ILLIST,NW_L_COMP,204,9
COLDITY,NW_L_COMP,204,10
MOUTHIZE,NW_L_COMP,204,11
MUDLY,NW_L_COMP,204,12
ADDMENT,NW_L_COMP,204,13
PASSMENT,NW_L_COMP,204,14
FREENESS,NW_L_COMP,204,15
FLIPORY,NW_L_COMP,204,16
FELLOWOUS,NW_L_COMP,204,17
BOILOUS,NW_L_COMP,204,18
KINGISM,NW_L_COMP,204,19
NORTHIZE,NW_L_COMP,204,20
EMPLOYNESS,NW_L_COMP,204,21
BINDIC,NW_L_COMP,204,22
BREAKITY,NW_L_COMP,204,23
AGREELY,NW_L_COMP,204,24
PITCHORY,NW_L_COMP,204,25
SOCKETEL,NW_S_SIMP,205,1
GUMFIL,NW_S_SIMP,205,2
HEIRIG,NW_S_SIMP,205,3
AIDIG,NW_S_SIMP,205,4
URNILT,NW_S_SIMP,205,5
RAMPIME,NW_S_SIMP,205,6
JAWLA,NW_S_SIMP,205,7
OPPOSEMANT,NW_S_SIMP,205,8
NEXTNELS,NW_S_SIMP,205,9
BASKODY,NW_S_SIMP,205,10
DIGODY,NW_S_SIMP,205,11
WARNODY,NW_S_SIMP,205,12
BOLTOES,NW_S_SIMP,205,13
HELMETOES,NW_S_SIMP,205,14
SCHEMENELS,NW_S_SIMP,205,15
ACREMANT,NW_S_SIMP,205,16
TILTADY,NW_S_SIMP,205,17
MEDICALADY,NW_S_SIMP,205,18
ZOOMFIL,NW_S_SIMP,205,19
YIELDILT,NW_S_SIMP,205,20
WINKIDY,NW_S_SIMP,205,21
THRILLANGE,NW_S_SIMP,205,22
NULLITH,NW_S_SIMP,205,23
FEVERIME,NW_S_SIMP,205,24
ADVERTISELA,NW_S_SIMP,205,25
PRAYANGE,NW_L_SIMP,206,1
BOGADY,NW_L_SIMP,206,2
BANDADY,NW_L_SIMP,206,3
BEGENGE,NW_L_SIMP,206,4
PICKENGE,NW_L_SIMP,206,5
TAXFIL,NW_L_SIMP,206,6
HABITIG,NW_L_SIMP,206,7
BEANITH,NW_L_SIMP,206,8
WIGITH,NW_L_SIMP,206,9
ELBOWILM,NW_L_SIMP,206,10
WITCHITH,NW_L_SIMP,206,11
EARILT,NW_L_SIMP,206,12
POORIDY,NW_L_SIMP,206,13
NUTLA,NW_L_SIMP,206,14
TOWERLA,NW_L_SIMP,206,15
SHOOTMANT,NW_L_SIMP,206,16
LONGNELS,NW_L_SIMP,206,17
CLASSOES,NW_L_SIMP,206,18
SMOOTHFIL,NW_L_SIMP,206,19
GROWILT,NW_L_SIMP,206,20
 DRESSODY,NW_L_SIMP,206,21
CRITICANGE,NW_L_SIMP,206,22
VALIDEL,NW_L_SIMP,206,23
BLOODEL,NW_L_SIMP,206,24
BEARILT,NW_L_SIMP,206,25
FLIRT,FILL_W,207,1
WEIRD,FILL_W,207,2
BALD,FILL_W,207,3
BLUNT,FILL_W,207,4
BLEAK,FILL_W,207,5
SLIM,FILL_W,207,6
PREACH,FILL_W,207,7
BRISK,FILL_W,207,8
LEAK,FILL_W,207,9
BRASS,FILL_W,207,10
CHIP,FILL_W,207,11
WEAVE,FILL_W,207,12
WRECK,FILL_W,207,13
GLOOM,FILL_W,207,14
STARVE,FILL_W,207,15
STEEP,FILL_W,207,16
FOLLOW,FILL_W,207,17
CEASE,FILL_W,207,18
DRUNK,FILL_W,207,19
CRUNCH,FILL_W,207,20
QUIT,FILL_W,207,21
SPLICE,FILL_W,207,22
LITHE,FILL_W,207,23
FIERCE,FILL_W,207,24
EAT,FILL_W,207,25
MOURN,FILL_W,207,26
STALK,FILL_W,207,27
GOLF,FILL_W,207,28
BAKE,FILL_W,207,29
FLOAT,FILL_W,207,30
FAINT,FILL_W,207,31
FLESH,FILL_W,207,32
IRON,FILL_W,207,33
TASTE,FILL_W,207,34
LEGAL,FILL_W,207,35
SICK,FILL_W,207,36
SHIP,FILL_W,207,37
COOK,FILL_W,207,38
LIFT,FILL_W,207,39
SOUGHT,FILL_W,207,40
PACK,FILL_W,207,41
BOX,FILL_W,207,42
SOFT,FILL_W,207,43
OLD,FILL_W,207,44
TAX,FILL_W,207,45
SAVE,FILL_W,207,46
TEST,FILL_W,207,47
TREAT,FILL_W,207,48
SUIT,FILL_W,207,49
SMOKE,FILL_W,207,50
BAFED,FILL_NW,208,1
BALFS,FILL_NW,208,2
BLANTH,FILL_NW,208,3
BROUPS,FILL_NW,208,4
BUTE,FILL_NW,208,5
CINDS,FILL_NW,208,6
CORG,FILL_NW,208,7
BLAYS,FILL_NW,208,8
BUWL,FILL_NW,208,9
DARF,FILL_NW,208,10
DARM,FILL_NW,208,11
DASK,FILL_NW,208,12
DASP,FILL_NW,208,13
DELP,FILL_NW,208,14
DOADS,FILL_NW,208,15
DOWED,FILL_NW,208,16
DROES,FILL_NW,208,17
DULKS,FILL_NW,208,18
FALONS,FILL_NW,208,19
TREMP,FILL_NW,208,20
FROES,FILL_NW,208,21
FROT,FILL_NW,208,22
GAIRS,FILL_NW,208,23
GIKE,FILL_NW,208,24
GILN,FILL_NW,208,25
HEAS,FILL_NW,208,26
HEEM,FILL_NW,208,27
HEND,FILL_NW,208,28
HESK,FILL_NW,208,29
HOITS,FILL_NW,208,30
JADS,FILL_NW,208,31
KEMT,FILL_NW,208,32
KRAISE,FILL_NW,208,33
LOLDS,FILL_NW,208,34
PHEEKS,FILL_NW,208,35
PIFTH,FILL_NW,208,36
PLAODS,FILL_NW,208,37
POLT,FILL_NW,208,38
PORDS,FILL_NW,208,39
PUCTS,FILL_NW,208,40
SCURE,FILL_NW,208,41
SMADE,FILL_NW,208,42
SOISE,FILL_NW,208,43
TUEER,FILL_NW,208,44
ULNS,FILL_NW,208,45
VELT,FILL_NW,208,46
VOGS,FILL_NW,208,47
VOOFS,FILL_NW,208,48
VUNKS,FILL_NW,208,49
BORMS,FILL_NW,208,50
