target.BA,targ_type.BA,targ_trig.BA,cresp.BA,ITI.BA,target.AB,targ_type.AB,targ_trig.AB,cresp.AB,ITI.AB
DETECTABLE,CW_S,1,8,800,DETECTABLE,CW_S,1,8,800
AVOIDABLE,CW_S,2,8,900,AVOIDABLE,CW_S,2,8,900
NOTICEABLE,CW_S,3,8,750,NOTICEABLE,CW_S,3,8,750
MAGICAL,CW_S,4,8,800,MAGICAL,CW_S,4,8,800
ALLOWANCE,CW_S,5,8,900,ALLOWANCE,CW_S,5,8,900
DIETARY,CW_S,6,8,900,DIETARY,CW_S,6,8,900
WIDOWED,CW_S,7,8,900,WIDOWED,CW_S,7,8,900
BEARDED,CW_S,8,8,850,BEARDED,CW_S,8,8,850
INSISTENT,CW_S,9,8,800,INSISTENT,CW_S,9,8,800
TOASTER,CW_S,10,8,850,TOASTER,CW_S,10,8,850
LENDER,CW_S,11,8,850,LENDER,CW_S,11,8,850
RAIDER,CW_S,12,8,900,RAIDER,CW_S,12,8,900
JAILER,CW_S,13,8,750,JAILER,CW_S,13,8,750
DESTROYER,CW_S,14,8,800,DESTROYER,CW_S,14,8,800
CAMPAIGNER,CW_S,15,8,700,CAMPAIGNER,CW_S,15,8,700
SEEKER,CW_S,16,8,750,SEEKER,CW_S,16,8,750
SINGER,CW_S,17,8,850,SINGER,CW_S,17,8,850
LISTENER,CW_S,18,8,700,LISTENER,CW_S,18,8,700
DESIGN,CW_S,19,8,900,DESIGN,CW_S,19,8,900
ATTACKER,CW_S,20,8,800,ATTACKER,CW_S,20,8,800
BUYER,CW_S,21,8,800,BUYER,CW_S,21,8,800
PLANNER,CW_S,22,8,750,PLANNER,CW_S,22,8,750
TEACHER,CW_S,23,8,850,TEACHER,CW_S,23,8,850
THRUSTER,CW_S,24,8,700,THRUSTER,CW_S,24,8,700
ANGELIC,CW_S,25,8,700,ANGELIC,CW_S,25,8,700
TOSSING,CW_S,26,8,750,TOSSING,CW_S,26,8,750
TUTORING,CW_S,27,8,750,TUTORING,CW_S,27,8,750
PEAKING,CW_S,28,8,750,PEAKING,CW_S,28,8,750
HARMLESS,CW_S,29,8,750,HARMLESS,CW_S,29,8,750
EFFORTLESS,CW_S,30,8,900,EFFORTLESS,CW_S,30,8,900
GRIMLY,CW_S,31,8,750,GRIMLY,CW_S,31,8,750
DENSELY,CW_S,32,8,850,DENSELY,CW_S,32,8,850
NEATLY,CW_S,33,8,850,NEATLY,CW_S,33,8,850
GUILTY,CW_S,34,8,800,GUILTY,CW_S,34,8,800
HUGELY,CW_S,35,8,750,HUGELY,CW_S,35,8,750
COSTLY,CW_S,36,8,750,COSTLY,CW_S,36,8,750
LOCALLY,CW_S,37,8,700,LOCALLY,CW_S,37,8,700
AMUSEMENT,CW_S,38,8,700,AMUSEMENT,CW_S,38,8,700
AMAZEMENT,CW_S,39,8,850,AMAZEMENT,CW_S,39,8,850
ENJOYMENT,CW_S,40,8,700,ENJOYMENT,CW_S,40,8,700
BOLDNESS,CW_S,41,8,700,BOLDNESS,CW_S,41,8,700
MILDNESS,CW_S,42,8,750,MILDNESS,CW_S,42,8,750
DULLNESS,CW_S,43,8,850,DULLNESS,CW_S,43,8,850
AWARENESS,CW_S,44,8,750,AWARENESS,CW_S,44,8,750
RICHNESS,CW_S,45,8,850,RICHNESS,CW_S,45,8,850
STRANGENESS,CW_S,46,8,850,STRANGENESS,CW_S,46,8,850
MOSSY,CW_S,47,8,750,MOSSY,CW_S,47,8,750
CHILLY,CW_S,48,8,850,CHILLY,CW_S,48,8,850
BOSSY,CW_S,49,8,850,BOSSY,CW_S,49,8,850
RISKY,CW_S,50,8,800,RISKY,CW_S,50,8,800
PUNCHER,CW_L,51,8,850,PUNCHER,CW_L,51,8,850
BARKER,CW_L,52,8,850,BARKER,CW_L,52,8,850
SPELLER,CW_L,53,8,900,SPELLER,CW_L,53,8,900
KNOCKER,CW_L,54,8,800,KNOCKER,CW_L,54,8,800
SWIMMER,CW_L,55,8,850,SWIMMER,CW_L,55,8,850
COMPOSER,CW_L,56,8,800,COMPOSER,CW_L,56,8,800
BOMBER,CW_L,57,8,850,BOMBER,CW_L,57,8,850
LOCKER,CW_L,58,8,900,LOCKER,CW_L,58,8,900
RENTER,CW_L,59,8,850,RENTER,CW_L,59,8,850
HUNTER,CW_L,60,8,850,HUNTER,CW_L,60,8,850
DANCER,CW_L,61,8,750,DANCER,CW_L,61,8,750
DREAMER,CW_L,62,8,750,DREAMER,CW_L,62,8,750
PUSHER,CW_L,63,8,750,PUSHER,CW_L,63,8,750
FEEDER,CW_L,64,8,850,FEEDER,CW_L,64,8,850
CLEANER,CW_L,65,8,900,CLEANER,CW_L,65,8,900
HEATER,CW_L,66,8,800,HEATER,CW_L,66,8,800
STRIKER,CW_L,67,8,750,STRIKER,CW_L,67,8,750
PAINTER,CW_L,68,8,850,PAINTER,CW_L,68,8,850
SHAMEFUL,CW_L,69,8,700,SHAMEFUL,CW_L,69,8,700
FAITHFUL,CW_L,70,8,900,FAITHFUL,CW_L,70,8,900
DOUBTFUL,CW_L,71,8,800,DOUBTFUL,CW_L,71,8,800
FLEXIBLE,CW_L,72,8,750,FLEXIBLE,CW_L,72,8,750
KICKING,CW_L,73,8,850,KICKING,CW_L,73,8,850
COOLING,CW_L,74,8,900,COOLING,CW_L,74,8,900
PARKING,CW_L,75,8,850,PARKING,CW_L,75,8,850
GUARDING,CW_L,76,8,850,GUARDING,CW_L,76,8,850
LAUGHING,CW_L,77,8,750,LAUGHING,CW_L,77,8,750
DAMPISH,CW_L,78,8,800,DAMPISH,CW_L,78,8,800
STYLISH,CW_L,79,8,900,STYLISH,CW_L,79,8,900
JUMPING,CW_L,80,8,850,JUMPING,CW_L,80,8,850
GUILELESS,CW_L,81,8,850,GUILELESS,CW_L,81,8,850
BOOTLESS,CW_L,82,8,700,BOOTLESS,CW_L,82,8,700
CLOUDLESS,CW_L,83,8,900,CLOUDLESS,CW_L,83,8,900
BONELESS,CW_L,84,8,700,BONELESS,CW_L,84,8,700
SHAPELY,CW_L,85,8,900,SHAPELY,CW_L,85,8,900
QUIETLY,CW_L,86,8,900,QUIETLY,CW_L,86,8,900
WRONGLY,CW_L,87,8,900,WRONGLY,CW_L,87,8,900
EXCITEMENT,CW_L,88,8,750,EXCITEMENT,CW_L,88,8,750
DEAFNESS,CW_L,89,8,750,DEAFNESS,CW_L,89,8,750
BLINDNESS,CW_L,90,8,900,BLINDNESS,CW_L,90,8,900
MADNESS,CW_L,91,8,800,MADNESS,CW_L,91,8,800
DRYNESS,CW_L,92,8,900,DRYNESS,CW_L,92,8,900
SAILOR,CW_L,93,8,700,SAILOR,CW_L,93,8,700
CONDUCTOR,CW_L,94,8,900,CONDUCTOR,CW_L,94,8,900
EDITOR,CW_L,95,8,850,EDITOR,CW_L,95,8,850
COLLECTOR,CW_L,96,8,700,COLLECTOR,CW_L,96,8,700
PROFESSOR,CW_L,97,8,800,PROFESSOR,CW_L,97,8,800
WEEDY,CW_L,98,8,800,WEEDY,CW_L,98,8,800
CREAMY,CW_L,99,8,750,CREAMY,CW_L,99,8,750
VERBAL,CW_L,100,8,700,VERBAL,CW_L,100,8,700
MELTANGE,NW_S_SIMP,101,7,700,MELTANCE,NW_S_COMP,101,7,700
HAPPENANGE,NW_S_SIMP,102,7,700,HAPPENANCE,NW_S_COMP,102,7,700
LIDADY,NW_S_SIMP,103,7,750,LIDARY,NW_S_COMP,103,7,750
FIGEL,NW_S_SIMP,104,7,800,FIGER,NW_S_COMP,104,7,800
BEEREL,NW_S_SIMP,105,7,750,BEERER,NW_S_COMP,105,7,750
FANFIL,NW_S_SIMP,106,7,700,FANFUL,NW_S_COMP,106,7,700
ALTARIG,NW_S_SIMP,107,7,900,ALTARIC,NW_S_COMP,107,7,900
ANTILM,NW_S_SIMP,108,7,700,ANTISM,NW_S_COMP,108,7,700
ARIDILM,NW_S_SIMP,109,7,900,ARIDISM,NW_S_COMP,109,7,900
ELMILT,NW_S_SIMP,110,7,700,ELMIST,NW_S_COMP,110,7,700
CURTIDY,NW_S_SIMP,111,7,800,CURTITY,NW_S_COMP,111,7,800
DUMBIDY,NW_S_SIMP,112,7,700,DUMBITY,NW_S_COMP,112,7,700
PILLIME,NW_S_SIMP,113,7,700,PILLIZE,NW_S_COMP,113,7,700
TREASONIME,NW_S_SIMP,114,7,750,TREASONIZE,NW_S_COMP,114,7,750
TRUENELS,NW_S_SIMP,115,7,900,TRUENESS,NW_S_COMP,115,7,900
BRANCHEL,NW_S_SIMP,116,7,750,BRANCHER,NW_S_COMP,116,7,750
PRINCEMANT,NW_S_SIMP,117,7,850,PRINCEMENT,NW_S_COMP,117,7,850
HEIGHTENGE,NW_S_SIMP,118,7,850,HEIGHTENCE,NW_S_COMP,118,7,850
ADOPTISH,NW_S_SIMP,119,7,700,ADOPTISH,NW_S_COMP,119,7,700
EJECTENGE,NW_S_SIMP,120,7,850,EJECTENCE,NW_S_COMP,120,7,850
WELDIG,NW_S_SIMP,121,7,850,WELDIC,NW_S_COMP,121,7,850
DEBTITH,NW_S_SIMP,122,7,850,DEBTISH,NW_S_COMP,122,7,850
YANKODY,NW_S_SIMP,123,7,700,YANKORY,NW_S_COMP,123,7,700
FIENDILM,NW_S_SIMP,124,7,850,FIENDISM,NW_S_COMP,124,7,850
HUMIDOES,NW_S_SIMP,125,7,850,HUMIDOUS,NW_S_COMP,125,7,850
STIRANGE,NW_L_SIMP,126,7,750,STIRANCE,NW_L_COMP,126,7,750
TRIPADY,NW_L_SIMP,127,7,750,TRIPARY,NW_L_COMP,127,7,750
FLITENGE,NW_L_SIMP,128,7,900,FLITENCE,NW_L_COMP,128,7,900
RIPENGE,NW_L_SIMP,129,7,900,RIPENCE,NW_L_COMP,129,7,900
SHEETEL,NW_L_SIMP,130,7,800,SHEETER,NW_L_COMP,130,7,800
GASFIL,NW_L_SIMP,131,7,700,GASFUL,NW_L_COMP,131,7,700
ANGELITH,NW_L_SIMP,132,7,900,ANGELISH,NW_L_COMP,132,7,900
INKILM,NW_L_SIMP,133,7,850,INKISM,NW_L_COMP,133,7,850
ILLILT,NW_L_SIMP,134,7,800,ILLIST,NW_L_COMP,134,7,800
COLDIDY,NW_L_SIMP,135,7,900,COLDITY,NW_L_COMP,135,7,900
MOUTHIME,NW_L_SIMP,136,7,850,MOUTHIZE,NW_L_COMP,136,7,850
MUDLA,NW_L_SIMP,137,7,750,MUDLY,NW_L_COMP,137,7,750
ADDMANT,NW_L_SIMP,138,7,800,ADDMENT,NW_L_COMP,138,7,800
PASSMANT,NW_L_SIMP,139,7,900,PASSMENT,NW_L_COMP,139,7,900
FREENELS,NW_L_SIMP,140,7,750,FREENESS,NW_L_COMP,140,7,750
FLIPODY,NW_L_SIMP,141,7,700,FLIPORY,NW_L_COMP,141,7,700
FELLOWOES,NW_L_SIMP,142,7,800,FELLOWOUS,NW_L_COMP,142,7,800
BOIL,NW_L_SIMP,143,7,900,BOILOUS,NW_L_COMP,143,7,900
KINGILM,NW_L_SIMP,144,7,800,KINGISM,NW_L_COMP,144,7,800
IME,NW_L_SIMP,145,7,800,NORTHIZE,NW_L_COMP,145,7,800
EMPLOYNELS,NW_L_SIMP,146,7,800,EMPLOYNESS,NW_L_COMP,146,7,800
BINDIG,NW_L_SIMP,147,7,800,BINDIC,NW_L_COMP,147,7,800
BREAKIDY,NW_L_SIMP,148,7,750,BREAKITY,NW_L_COMP,148,7,750
AGREELA,NW_L_SIMP,149,7,850,AGREELY,NW_L_COMP,149,7,850
PITCHODY,NW_L_SIMP,150,7,700,PITCHORY,NW_L_COMP,150,7,700
SOCKETER,NW_S_COMP,151,7,800,SOCKETEL,NW_S_SIMP,151,7,800
GUMFUL,NW_S_COMP,152,7,700,GUMFIL,NW_S_SIMP,152,7,700
HEIRIC,NW_S_COMP,153,7,800,HEIRIG,NW_S_SIMP,153,7,800
AIDIC,NW_S_COMP,154,7,900,AIDIG,NW_S_SIMP,154,7,900
URNIST,NW_S_COMP,155,7,900,URNILT,NW_S_SIMP,155,7,900
RAMPIZE,NW_S_COMP,156,7,900,RAMPIME,NW_S_SIMP,156,7,900
JAWLY,NW_S_COMP,157,7,700,JAWLA,NW_S_SIMP,157,7,700
OPPOSEMENT,NW_S_COMP,158,7,700,OPPOSEMANT,NW_S_SIMP,158,7,700
NEXTNESS,NW_S_COMP,159,7,800,NEXTNELS,NW_S_SIMP,159,7,800
BASKORY,NW_S_COMP,160,7,850,BASKODY,NW_S_SIMP,160,7,850
