Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
  2       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
  3       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
  4       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
  5       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
  6       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
  7       0(error)        0(error)       0       0       0       0       0       0       0
  8       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
  9       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 10       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 12       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 13       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 14       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 15       0(error)        0(error)       0       0       0       0       0       0       0
 16       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 17       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 18       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 19       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 20       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 21       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 22       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 23       0(error)        0(error)       0       0       0       0       0       0       0
 24       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 25       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 26       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 27       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 28       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 29       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 30       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 31       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 32       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 33       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 34       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 35       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 36       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 37       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 38       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 39       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 40       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 41       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 42       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 43       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 44       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 45       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 46       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 47       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 48       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 49       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 50       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 51       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 52       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 53       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 54       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 55       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 56       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 57       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 58       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 59       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 60       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 61       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 62       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 63       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 64       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 65       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 66       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
 67       0(  0.0)        1(100.0)       0       0       0       0       0       0       0
 68       1(100.0)        0(  0.0)       0       0       0       0       0       0       0
