Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1      42( 84.0)        8( 16.0)       0       0       0       0       0       0       0
  2      43( 86.0)        7( 14.0)       0       0       0       0       0       0       0
  3      22( 88.0)        3( 12.0)       0       0       0       0       0       0       0
  4      17( 68.0)        8( 32.0)       0       0       0       0       0       0       0
  5      19( 76.0)        6( 24.0)       0       0       0       0       0       0       0
  6      18( 72.0)        7( 28.0)       0       0       0       0       0       0       0
  7      41( 82.0)        9( 18.0)       0       0       0       0       0       0       0
  8      38( 76.0)       12( 24.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total   240( 80.0)       60( 20.0)       0       0       0       0       0       0       0

